Epoch,Epoch_Time,Total_Epoch_Time,Active_Workers,Accuracy
1,113.0815,113.0815,2,17.3400
2,100.6807,260.5193,2,22.9000
3,108.1940,407.1476,2,25.6200
4,98.9988,543.1788,2,25.6900
5,100.1197,682.0260,2,27.5500
6,99.1325,817.9350,2,29.6400
7,97.9668,951.9921,2,31.3600
8,100.1565,1088.8360,2,33.2000
9,113.7799,1239.0755,2,34.7800
10,98.2365,1374.7658,2,35.5500
11,104.9901,1516.5133,2,36.6700
12,100.9475,1660.8237,2,37.7200
13,109.6420,1809.8905,2,37.7100
14,106.2625,1959.3745,2,38.1300
15,102.5538,2101.7986,2,39.5000
16,100.7125,2240.3216,2,40.1900
17,102.6734,2379.3814,2,40.6300
18,99.8324,2517.7171,2,41.1900
19,102.9931,2658.5137,2,42.3400
20,99.9094,2797.7040,2,42.6500
21,100.6856,2937.2478,2,43.4000
22,99.3925,3072.2665,2,44.4600
23,98.5618,3210.3877,2,44.3500
24,100.0661,3346.3834,2,45.1100
25,98.8962,3480.7448,2,46.2000
26,98.5096,3615.1366,2,45.4700
27,109.8706,3761.0613,2,46.8800
28,100.5759,3897.9406,2,47.8600
29,102.1685,4036.0824,2,48.5400
30,100.9342,4177.5539,2,48.5900
31,102.3370,4322.6533,2,49.1100
32,104.6111,4466.7985,2,49.6200
33,115.3595,4622.7284,2,50.1800
34,101.0158,4762.5158,2,50.0800
35,99.3887,4899.4502,2,50.6500
36,102.1751,5037.6847,2,51.5500
37,106.0721,5186.5875,2,51.6700
38,115.0589,5343.8837,2,52.1800
39,98.3317,5481.4120,2,52.0000
40,101.4400,5622.2188,2,53.4300
