Epoch,Epoch_Time,Total_Epoch_Time,Active_Workers,Accuracy
1,396.7055,396.7055,2,19.0900
2,397.4872,835.4009,2,22.6000
3,395.7968,1280.8183,2,24.3200
4,394.3830,1726.1396,2,26.0700
5,391.1839,2158.2299,2,26.8100
6,392.8070,2592.2853,2,30.2600
7,391.5432,3025.3784,2,31.5800
8,391.8183,3459.3760,2,32.9800
9,390.7114,3890.8385,2,34.3600
10,393.5152,4325.8045,2,35.2200
11,394.7818,4762.5896,2,36.2000
12,391.9910,5195.8263,2,37.0000
13,393.5072,5630.4884,2,37.8500
14,390.7266,6067.7913,2,38.7600
15,388.3642,6500.3281,2,40.1500
16,383.5080,6928.4054,2,40.2400
17,854.6494,7826.7450,2,40.9700
18,387.3464,8258.1408,2,42.9300
19,386.6923,8688.7327,2,42.7900
20,386.7292,9119.1103,2,43.3600
21,387.1962,9550.4100,2,44.2900
22,532.4351,10128.1013,2,45.7300
23,634.8064,10838.3236,2,45.9300
24,631.0566,11543.3439,2,46.4100
25,450.9651,12068.5681,2,46.7300
26,385.5709,12494.4711,2,47.6000
27,386.9221,12921.7558,2,48.0700
28,404.0478,13367.3848,2,48.8000
29,404.7688,13824.3586,2,49.3600
30,411.7912,14291.4328,2,50.2100
31,407.4657,14750.0808,2,50.1800
32,412.9530,15217.5835,2,50.9000
33,393.8963,15667.6757,2,51.6400
34,411.1177,16132.3917,2,51.8500
35,390.5600,16563.6513,2,52.0600
36,389.7938,16993.9683,2,52.2900
37,389.0361,17423.5725,2,53.3000
38,387.6965,17851.7613,2,54.1500
39,389.3774,18286.4451,2,54.3700
40,389.2960,18715.9268,2,54.3500
41,395.2209,19151.6496,2,54.7600
42,390.1226,19582.0246,2,55.9700
43,388.6044,20010.8745,2,55.6600
44,394.5163,20448.4730,2,56.5500
45,385.5383,20874.2096,2,57.0100
46,387.8261,21302.1345,2,57.1300
47,385.4205,21728.3882,2,58.4300
48,391.9581,22160.4866,2,58.4000
49,382.2650,22584.9537,2,59.1300
50,380.9171,23011.9038,2,59.5900
51,379.7992,23430.8313,2,60.2000
52,379.7380,23851.9929,2,60.1000
53,380.0428,24273.3066,2,60.9800
54,379.9202,24692.4405,2,61.2400
55,380.1240,25111.6420,2,61.6500
56,382.1415,25537.9872,2,61.7400
57,380.6222,25958.1447,2,62.4900
58,380.0199,26377.4952,2,62.7900
59,380.0998,26796.7957,2,62.7700
60,380.4901,27216.7251,2,63.5200
